iter	Passed	Remaining
0	0	60
1	1	57
2	1	51
3	2	50
4	2	48
5	3	47
6	3	46
7	4	48
8	4	49
9	5	49
10	5	48
11	6	46
12	6	45
13	7	44
14	7	45
15	8	44
16	9	44
17	10	47
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	43
24	14	44
25	15	44
26	15	43
27	16	42
28	17	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	19	36
35	20	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	27
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
